id,market_id,crop_id,price_per_kg_rwf,source,source_count,reported_at
8dc4a4e7-1c3e-4747-a0fd-a475480dd99c,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,506,esoko_feed,2,2026-04-06T08:00:00Z
89ed8d49-f7a4-41cf-9bd4-968a9c292f99,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,512,esoko_feed,5,2026-04-07T08:00:00Z
92389c4a-bf96-4509-b88e-add60f6fb70d,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,487,esoko_feed,3,2026-04-08T08:00:00Z
a9bd866a-4988-48bf-859c-7cc8948a1e6d,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,510,esoko_feed,10,2026-04-09T08:00:00Z
04fa3f89-a870-4430-be1e-45fef7cc96c5,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,481,esoko_feed,8,2026-04-10T08:00:00Z
3e105ed0-3109-475d-b04a-1f9992e26d82,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,478,esoko_feed,3,2026-04-11T08:00:00Z
5869674e-2cd4-46ba-8869-2b7141704ac7,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,488,esoko_feed,10,2026-04-12T08:00:00Z
e5c195e6-37ab-4de8-af9c-975f31581fd2,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,508,esoko_feed,10,2026-04-13T08:00:00Z
c1936021-8a2f-428a-adeb-c734145114d9,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,488,esoko_feed,12,2026-04-14T08:00:00Z
28de43ab-9f4a-47f5-a43e-9802611350cb,f987b6cf-eaac-4b77-9c4c-10842ee0ef58,a1f01ef8-bbee-4b27-8d00-2aa400abd3d5,514,esoko_feed,8,2026-04-15T08:00:00Z
